NCTId,BriefTitle,Condition,EnrollmentCount,StartDate,LastUpdatePostDate,Location,LeadSponsorName,OverallStatus,StudyType,TherapeuticMatch,PhaseMatch,InterventionMatch,RegionMatch,MatchScore,DataQuality,CompletedRatio,completeness,recency_score,enrollment_score,completeness_score,score,score_pct
NCT01064141,A Study of Dengue Vaccine in Healthy Toddlers Aged 12 to 15 Months in the Philippines,"Dengue Fever, Dengue Hemorrhagic Fever",210,2010-01,2013-02-06,Unknown,Sanofi,COMPLETED,INTERVENTIONAL,0.3745401188473625,0.388677289689482,0.8074401551640625,0.3410663510502585,0.45725280671970564,0.8,0.0,0.0,2.9403371645486793e-06,0.3966355136987212,0.0,0.1189915362107657,23.489833211401937
NCT01563640,Insecticidal School Uniforms for Dengue Prevention in Thailand,Dengue,1825,2012-03,2015-09-01,Unknown,Umeå University,TERMINATED,INTERVENTIONAL,0.9507143064099162,0.2713490317738959,0.8960912999234932,0.11347352124058907,0.6364684931515621,0.8,0.0,0.0,3.830757066956684e-05,0.5565704941143176,0.0,0.16698264050549613,32.968238474211624
NCT00875524,Study of ChimeriVax™ Tetravalent Dengue Vaccine in Healthy Subjects,"Dengue Virus, Dengue Fever, Dengue Hemorrhagic Fever, Dengue Disease",180,2009-03,2022-04-05,Unknown,"Sanofi Pasteur, a Sanofi Company",COMPLETED,INTERVENTIONAL,0.7319939418114051,0.8287375091519293,0.3180034749718639,0.9246936182785628,0.7070844972050332,0.8,0.0,0.0,0.02808266660617445,0.3852696557033314,0.0,0.12400569669285175,24.480146849740017
NCT01386424,Screening for LID Clinical Studies Unit Healthy Volunteer Protocols,"Zika, Influenza",5000,2011-07-20,2025-10-09,Unknown,National Institute of Allergy and Infectious Diseases (NIAID),RECRUITING,OBSERVATIONAL,0.5986584841970366,0.3567533266935893,0.11005192452767676,0.877339353380981,0.508292314599264,1.0,0.0,0.0,0.9440895579986105,0.6312388205487593,0.0,0.4725985135642109,93.328406096276
NCT02406729,Phase III Trial to Evaluate Efficacy and Safety of a Tetravalent Dengue Vaccine,Dengue,16935,2016-02-22,2024-02-15,Unknown,Butantan Institute,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,0.15601864044243652,0.28093450968738076,0.22793516254194168,0.2579416277151556,0.2157697161658702,0.8,0.0,0.0,0.18143654239877033,0.7216405897754691,0.0,0.2709231396522718,53.496838276405434
NCT05607472,Factors Associated With Hospitalization for Dengue and Dengue Severity: Hospital-based Cohort Study on Reunion Island,Dengue Fever With Warning Signs,258,2022-03-30,2024-08-21,Unknown,Centre Hospitalier Universitaire de la Réunion,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,0.15599452033620265,0.5426960831582485,0.4271077886262563,0.659984046034179,0.38835539169821787,0.8,0.0,0.0,0.3036799822780756,0.4118261915429604,0.0,0.21465185214631077,42.383068850179846
NCT03341637,Immunogenicity and Safety of Tetravalent Dengue Vaccine (TDV) in Adolescents in Non-Endemic Area(s),Dengue,400,2017-12-14,2019-08-15,Unknown,Takeda,COMPLETED,INTERVENTIONAL,0.05808361216819946,0.14092422497476265,0.8180147659224931,0.8172222002012158,0.37846568308697415,0.8,0.0,0.0,0.0020018197639537806,0.4442229054875774,0.0,0.13386741757545934,26.427870047356276
NCT03525119,Immunogenicity and Safety of Tetravalent Dengue Vaccine (TDV) Co-administered With an Hepatitis A Virus Vaccine,Healthy Volunteers,900,2018-05-16,2022-08-19,Unknown,Takeda,COMPLETED,INTERVENTIONAL,0.8661761457749352,0.8021969807540397,0.8607305832563434,0.5552008115994623,0.7900961334319431,0.8,0.0,0.0,0.04076220397836621,0.5042196066304793,0.0,0.16349454318265366,32.279327466476126
NCT01254422,Study of a Tetravalent Dengue Vaccine in Healthy Children Aged 2 to 11 Years in Malaysia,"Dengue Fever, Dengue Hemorrhagic Fever",250,2010-12-02,2022-03-25,Unknown,Sanofi,COMPLETED,INTERVENTIONAL,0.6011150117432088,0.07455064367977082,0.006952130531190703,0.5296505783560065,0.36267667521067715,0.8,0.0,0.0,0.027248965387430796,0.40950092664492793,0.0,0.1310249676097076,25.866476574324388
NCT01696422,"Phase II Trial to Evaluate Safety and Immunogenicity of a Dengue 1,2,3,4 (Attenuated) Vaccine",Dengue,300,2013-10,2019-01-16,Unknown,Butantan Institute,UNKNOWN,INTERVENTIONAL,0.7080725777960455,0.9868869366005173,0.5107473025775657,0.24185229090045168,0.6311263371341251,0.8,0.0,0.0,0.001122967187888275,0.42296386696701627,0.0,0.12722605024647135,25.116177558332968
